27,29,20,31,6,113,35,15,33,24,7,114,
32,19,25,31,107,33,20,24,33,110,
21,36,32,23,112,32,33,10,24,99,
26,26,18,18,88,27,34,23,22,106,
34,22,30,23,109,24,29,26,22,101,
26,21,21,23,91,31,25,29,31,116,
32,32,40,39,143,31,18,21,30,100,
35,15,28,22,100,23,24,27,29,103,
30,22,26,33,111,23,22,27,34,106,
27,17,35,32,6,117,23,33,26,29,9,120,
30,35,33,31,129,30,23,43,34,130,
42,29,22,29,122,29,28,38,15,110,
24,33,33,22,112,21,18,29,20,88,
29,21,27,22,99,28,34,18,21,101,
21,37,16,32,106,22,31,30,21,104,
38,31,27,32,128,28,29,13,16,86,
31,26,30,32,119,26,37,30,30,123,
24,23,22,30,99,41,30,33,26,130,
28,26,28,31,113,18,40,28,20,106,
29,28,24,29,110,31,31,34,15,111,
27,27,25,26,105,26,35,27,26,114,
34,27,34,20,115,26,28,30,18,102,
25,34,27,22,108,28,21,31,26,106,
40,35,25,30,130,34,28,33,21,116,
25,22,36,23,20,126,33,32,12,29,17,123,
30,22,17,29,98,21,23,26,24,94,
28,24,33,24,12,121,29,31,28,21,15,124,
32,35,34,32,133,29,37,30,22,118,
34,19,25,16,94,34,33,26,15,108,
34,15,34,34,117,40,28,35,26,129,
27,24,25,25,101,40,30,29,27,126,
26,14,21,21,82,35,26,23,18,102,
30,28,29,27,114,36,28,16,20,100,
25,18,31,23,97,24,33,24,22,103,
30,19,33,22,104,21,34,28,30,113,
29,34,21,26,110,29,27,29,17,102,
26,20,30,32,108,18,30,24,28,100,
33,38,29,34,134,30,35,23,39,127,
33,30,22,18,103,28,20,36,28,112,
30,25,36,31,122,32,26,42,29,129,
20,27,23,18,88,33,23,19,25,100,
36,22,22,18,98,25,27,37,28,117,
28,25,20,37,110,28,32,21,26,107,
27,26,17,27,97,30,28,28,25,111,
28,37,19,25,109,34,20,31,21,106,
38,38,27,17,120,29,23,28,27,107,
28,37,29,21,115,28,34,27,20,109,
34,16,23,21,94,29,24,19,24,96,
31,36,21,25,113,29,26,24,37,116,
34,37,27,18,116,42,34,39,24,139,
37,27,23,30,117,31,33,24,31,119,
28,26,20,13,87,24,26,23,21,94,
25,33,28,19,105,30,23,26,16,95,
35,21,33,33,122,27,43,25,24,119,
