AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,AT,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,HT
21,31,23,26,0,0,101,38,16,33,27,0,0,114
29,29,35,27,0,0,120,34,35,28,30,0,0,127
34,27,22,22,0,0,105,28,30,29,26,0,0,113
20,22,24,29,0,0,95,29,17,34,24,0,0,104
27,23,23,31,8,0,112,32,26,27,19,13,0,117
27,24,27,28,0,0,106,27,30,17,21,0,0,95
25,32,34,21,0,0,112,33,33,31,34,0,0,131
23,29,22,23,0,0,97,30,28,29,27,0,0,114
26,32,22,32,0,0,112,30,38,26,27,0,0,121
24,32,29,28,0,0,113,29,41,36,26,0,0,132
27,19,30,17,0,0,93,31,23,29,28,0,0,111
30,33,21,19,0,0,103,33,39,24,18,0,0,114
25,27,25,24,0,0,101,25,23,26,32,0,0,106
23,33,31,33,0,0,120,23,37,28,26,0,0,114
24,30,21,35,0,0,110,19,31,21,24,0,0,95
30,25,29,28,0,0,112,28,33,31,29,0,0,121
30,25,34,28,0,0,117,29,28,24,27,0,0,108
26,39,25,14,0,0,104,28,24,30,36,0,0,118
24,27,33,25,0,0,109,37,30,32,22,0,0,121
33,26,25,31,0,0,115,34,23,45,30,0,0,132
25,32,31,24,0,0,112,35,24,26,32,0,0,117
26,24,37,19,0,0,106,34,29,23,33,0,0,119
36,43,43,23,0,0,145,48,25,33,29,0,0,135
40,27,37,25,0,0,129,20,30,34,40,0,0,124
19,32,23,18,0,0,92,23,32,27,20,0,0,102
30,27,21,20,0,0,98,26,25,27,27,0,0,105
32,30,35,29,0,0,126,20,27,29,27,0,0,103
39,23,29,24,0,0,115,26,38,34,24,0,0,122
22,24,31,26,0,0,103,26,29,25,36,0,0,116
27,31,30,27,0,0,115,23,28,26,34,0,0,111
31,27,26,28,0,0,112,23,22,24,36,0,0,105
35,34,27,26,0,0,122,32,30,27,37,0,0,126
31,26,34,21,0,0,112,35,23,26,29,0,0,113
31,27,31,33,0,0,122,23,23,32,28,0,0,106
29,34,31,27,0,0,121,24,26,30,26,0,0,106
26,19,23,27,0,0,95,33,28,38,33,0,0,132
35,25,27,15,0,0,102,32,27,30,24,0,0,113
15,17,33,36,0,0,101,30,24,15,34,0,0,103
23,38,22,35,0,0,118,27,31,27,26,0,0,111
29,27,33,21,0,0,110,30,32,31,24,0,0,117
30,24,28,39,0,0,121,36,37,42,38,0,0,153
27,33,30,35,0,0,125,27,36,27,23,0,0,113
42,32,24,28,0,0,126,24,25,31,28,0,0,108
29,25,35,32,0,0,121,37,30,20,33,0,0,120
30,32,35,29,0,0,126,18,35,25,23,0,0,101
31,29,19,25,0,0,104,27,27,30,28,0,0,112
37,23,18,20,0,0,98,34,27,34,18,0,0,113
28,25,25,32,0,0,110,32,26,37,29,0,0,124
31,26,19,25,0,0,101,28,23,23,18,0,0,92
30,25,25,26,0,0,106,27,27,30,19,0,0,103
33,32,24,30,0,0,119,36,36,31,27,0,0,130
28,29,28,24,0,0,109,28,33,21,25,0,0,107
28,28,26,30,0,0,112,37,26,26,41,0,0,130
23,27,17,24,0,0,91,15,27,26,28,0,0,96
31,38,19,16,2,0,106,33,24,24,23,3,0,107
14,32,24,35,15,2,122,28,30,24,23,15,12,132
34,28,22,18,0,0,102,24,31,34,21,0,0,110
37,29,21,21,0,0,108,24,28,27,28,0,0,107
10,35,26,28,0,0,99,25,25,20,21,0,0,91
28,31,24,27,0,0,110,33,30,29,29,0,0,121
27,28,28,16,0,0,99,29,44,32,22,0,0,127
40,27,22,28,0,0,117,25,32,21,31,0,0,109
35,31,39,28,0,0,133,42,32,33,27,0,0,134
19,31,24,27,0,0,101,35,26,26,24,0,0,111
37,27,31,26,0,0,121,30,38,28,32,0,0,128
31,31,27,22,11,0,122,29,26,27,29,13,0,124
28,27,29,29,0,0,113,22,29,38,25,0,0,114
33,30,34,15,0,0,112,23,28,33,25,0,0,109
20,38,29,31,0,0,118,23,28,28,34,0,0,113
22,26,21,28,0,0,97,40,24,27,28,0,0,119
22,31,22,20,0,0,95,28,27,35,26,0,0,116
33,37,32,27,0,0,129,38,30,34,35,0,0,137
27,28,24,23,0,0,102,35,24,18,29,0,0,106
29,33,31,22,0,0,115,28,29,39,31,0,0,127
27,15,22,23,0,0,87,28,31,36,18,0,0,113
40,21,36,30,0,0,127,28,37,29,26,0,0,120
25,30,24,19,0,0,98,25,31,18,23,0,0,97
20,28,19,25,0,0,92,34,32,29,28,0,0,123
26,33,23,20,0,0,102,38,26,21,29,0,0,114
28,17,22,35,0,0,102,27,27,32,37,0,0,123
23,27,29,28,0,0,107,28,35,32,26,0,0,121
32,29,18,32,0,0,111,30,33,30,26,0,0,119
33,27,19,22,0,0,101,30,17,37,21,0,0,105
16,25,24,18,0,0,83,35,30,32,31,0,0,128
38,31,29,31,0,0,129,34,24,29,32,0,0,119
24,32,37,21,0,0,114,34,32,22,33,0,0,121
26,31,25,24,0,0,106,33,30,22,30,0,0,115
28,36,24,25,0,0,113,31,28,17,33,0,0,109
28,30,25,27,0,0,110,29,28,24,27,0,0,108
22,33,24,26,0,0,105,26,27,33,29,0,0,115
33,21,21,26,0,0,101,21,32,26,28,0,0,107
21,27,27,21,0,0,96,28,29,30,27,0,0,114
29,24,34,28,0,0,115,21,27,29,24,0,0,101
26,31,31,18,0,0,106,35,37,25,18,0,0,115
23,26,36,27,0,0,112,34,36,31,24,0,0,125
26,17,37,25,0,0,105,28,32,23,30,0,0,113
38,14,39,21,0,0,112,26,25,25,22,0,0,98
32,29,29,28,0,0,118,33,29,21,30,0,0,113
38,31,15,36,11,0,131,21,42,34,23,6,0,126
29,37,38,25,0,0,129,19,28,38,25,0,0,110
30,36,32,27,0,0,125,25,29,36,26,0,0,116
29,18,35,25,0,0,107,32,34,32,26,0,0,124
34,28,21,25,0,0,108,29,23,39,19,0,0,110
24,28,30,25,0,0,107,29,27,20,23,0,0,99
25,37,30,24,16,0,132,31,30,25,30,13,0,129
22,40,22,20,0,0,104,36,28,30,28,0,0,122
33,39,32,18,0,0,122,38,31,25,34,0,0,128
35,30,29,23,0,0,117,23,34,31,40,0,0,128
25,23,29,34,0,0,111,44,24,38,26,0,0,132
38,21,26,22,0,0,107,28,28,29,25,0,0,110
30,33,10,29,0,0,102,25,27,35,30,0,0,117
30,29,21,30,9,0,119,32,27,28,23,13,0,123
33,26,20,26,0,0,105,21,20,34,19,0,0,94
22,32,25,23,0,0,102,23,30,31,24,0,0,108
23,28,35,32,0,0,118,37,22,38,32,0,0,129
31,33,23,27,0,0,114,26,26,25,27,0,0,104
29,23,21,27,0,0,100,24,30,27,24,0,0,105
22,22,29,32,0,0,105,23,42,30,23,0,0,118
33,37,36,37,0,0,143,34,34,29,41,0,0,138
32,22,27,31,0,0,112,22,29,27,35,0,0,113
24,33,23,17,0,0,97,31,27,26,27,0,0,111
47,29,33,28,0,0,137,27,29,33,25,0,0,114
29,28,12,31,0,0,100,35,24,23,32,0,0,114
23,28,34,21,0,0,106,31,29,21,17,0,0,98
26,29,33,33,0,0,121,35,37,41,17,0,0,130
20,31,22,29,0,0,102,26,30,22,16,0,0,94
25,29,39,34,0,0,127,26,26,31,40,0,0,123
36,31,32,34,0,0,133,32,13,26,32,0,0,103
33,29,34,19,0,0,115,41,32,31,20,0,0,124
34,21,26,20,0,0,101,23,28,30,23,0,0,104
33,25,39,30,0,0,127,38,39,32,33,0,0,142
19,36,27,23,0,0,105,45,33,43,19,0,0,140
28,23,25,26,0,0,102,23,29,35,22,0,0,109
24,19,24,21,0,0,88,26,26,28,20,0,0,100
26,24,24,27,0,0,101,34,22,25,24,0,0,105
39,29,23,22,0,0,113,42,28,36,23,0,0,129
27,26,33,28,0,0,114,27,33,20,27,0,0,107
31,32,28,31,0,0,122,26,38,20,33,0,0,117
29,27,28,32,0,0,116,32,30,31,22,0,0,115
40,30,38,32,0,0,140,32,24,21,33,0,0,110
24,30,33,26,0,0,113,36,19,37,24,0,0,116
